,CustomerID,Genre,Age,Income,Score
0,1,0,19,15,39
1,2,0,21,15,81
2,3,1,20,16,6
3,4,1,23,16,77
4,5,1,31,17,40
5,6,1,22,17,76
6,7,1,35,18,6
7,8,1,23,18,94
8,9,0,64,19,3
9,10,1,30,19,72
10,11,0,67,19,14
11,12,1,35,19,99
12,13,1,58,20,15
13,14,1,24,20,77
14,15,0,37,20,13
15,16,0,22,20,79
16,17,1,35,21,35
17,18,0,20,21,66
18,19,0,52,23,29
19,20,1,35,23,98
20,21,0,35,24,35
21,22,0,25,24,73
22,23,1,46,25,5
23,24,0,31,25,73
24,25,1,54,28,14
25,26,0,29,28,82
26,27,1,45,28,32
27,28,0,35,28,61
28,29,1,40,29,31
29,30,1,23,29,87
30,31,0,60,30,4
31,32,1,21,30,73
32,33,0,53,33,4
33,34,0,18,33,92
34,35,1,49,33,14
35,36,1,21,33,81
36,37,1,42,34,17
37,38,1,30,34,73
38,39,1,36,37,26
39,40,1,20,37,75
40,41,1,65,38,35
41,42,0,24,38,92
42,43,0,48,39,36
43,44,1,31,39,61
44,45,1,49,39,28
45,46,1,24,39,65
46,47,1,50,40,55
47,48,1,27,40,47
48,49,1,29,40,42
49,50,1,31,40,42
50,51,1,49,42,52
51,52,0,33,42,60
52,53,1,31,43,54
53,54,0,59,43,60
54,55,1,50,43,45
55,56,0,47,43,41
56,57,1,51,44,50
57,58,0,69,44,46
58,59,1,27,46,51
59,60,0,53,46,46
60,61,0,70,46,56
61,62,0,19,46,55
62,63,1,67,47,52
63,64,1,54,47,59
64,65,0,63,48,51
65,66,0,18,48,59
66,67,1,43,48,50
67,68,1,68,48,48
68,69,0,19,48,59
69,70,1,32,48,47
70,71,0,70,49,55
71,72,1,47,49,42
72,73,1,60,50,49
73,74,1,60,50,56
74,75,0,59,54,47
75,76,0,26,54,54
76,77,1,45,54,53
77,78,0,40,54,48
78,79,1,23,54,52
79,80,1,49,54,42
80,81,0,57,54,51
81,82,0,38,54,55
82,83,0,67,54,41
83,84,1,46,54,44
84,85,1,21,54,57
85,86,0,48,54,46
86,87,1,55,57,58
87,88,1,22,57,55
88,89,1,34,58,60
89,90,1,50,58,46
90,91,1,68,59,55
91,92,0,18,59,41
92,93,0,48,60,49
93,94,1,40,60,40
94,95,1,32,60,42
95,96,0,24,60,52
96,97,1,47,60,47
97,98,1,27,60,50
98,99,0,48,61,42
99,100,0,20,61,49
100,101,1,23,62,41
101,102,1,49,62,48
102,103,0,67,62,59
103,104,0,26,62,55
104,105,0,49,62,56
105,106,1,21,62,42
106,107,1,66,63,50
107,108,0,54,63,46
108,109,0,68,63,43
109,110,0,66,63,48
110,111,0,65,63,52
111,112,1,19,63,54
112,113,1,38,64,42
113,114,0,19,64,46
114,115,1,18,65,48
115,116,1,19,65,50
116,117,1,63,65,43
117,118,1,49,65,59
118,119,1,51,67,43
119,120,1,50,67,57
120,121,0,27,67,56
121,122,1,38,67,40
122,123,1,40,69,58
123,124,0,39,69,91
124,125,1,23,70,29
125,126,1,31,70,77
126,127,0,43,71,35
127,128,0,40,71,95
128,129,0,59,71,11
129,130,0,38,71,75
130,131,0,47,71,9
131,132,0,39,71,75
132,133,1,25,72,34
133,134,1,31,72,71
134,135,0,20,73,5
135,136,1,29,73,88
136,137,1,44,73,7
137,138,0,32,73,73
138,139,0,19,74,10
139,140,1,35,74,72
140,141,1,57,75,5
141,142,0,32,75,93
142,143,1,28,76,40
143,144,1,32,76,87
144,145,0,25,77,12
145,146,0,28,77,97
146,147,0,48,77,36
147,148,1,32,77,74
148,149,1,34,78,22
149,150,0,34,78,90
150,151,0,43,78,17
151,152,0,39,78,88
152,153,1,44,78,20
153,154,1,38,78,76
154,155,1,47,78,16
155,156,1,27,78,89
156,157,0,37,78,1
157,158,1,30,78,78
158,159,0,34,78,1
159,160,1,30,78,73
160,161,1,56,79,35
161,162,1,29,79,83
162,163,0,19,81,5
163,164,1,31,81,93
164,165,0,50,85,26
165,166,1,36,85,75
166,167,0,42,86,20
167,168,1,33,86,95
168,169,1,36,87,27
169,170,0,32,87,63
170,171,0,40,87,13
171,172,0,28,87,75
172,173,0,36,87,10
173,174,0,36,87,92
174,175,1,52,88,13
175,176,1,30,88,86
176,177,0,58,88,15
177,178,0,27,88,69
178,179,0,59,93,14
179,180,0,35,93,90
180,181,1,37,97,32
181,182,1,32,97,86
182,183,0,46,98,15
183,184,1,29,98,88
184,185,1,41,99,39
185,186,0,30,99,97
186,187,1,54,101,24
187,188,0,28,101,68
188,189,1,41,103,17
189,190,1,36,103,85
190,191,1,34,103,23
191,192,1,32,103,69
192,193,0,33,113,8
193,194,1,38,113,91
194,195,1,47,120,16
195,196,1,35,120,79
196,197,1,45,126,28
197,198,0,32,126,74
198,199,0,32,137,18
199,200,0,30,137,83
